   1 RST=1 LOAD=1 EN=1 UP=1 DIN=33 | CNT= 0 exp= 0              
   2 RST=1 LOAD=1 EN=1 UP=1 DIN=33 | CNT= 0 exp= 0              
   3 RST=0 LOAD=0 EN=1 UP=1 DIN= 0 | CNT= 0 exp= 0              
   4 RST=0 LOAD=0 EN=1 UP=1 DIN= 0 | CNT= 1 exp= 1              
   5 RST=0 LOAD=0 EN=1 UP=1 DIN= 0 | CNT= 2 exp= 2              
   6 RST=0 LOAD=0 EN=1 UP=1 DIN= 0 | CNT= 3 exp= 3              
   7 RST=0 LOAD=0 EN=1 UP=1 DIN= 0 | CNT= 4 exp= 4              
   8 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT= 5 exp= 5              
   9 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT= 4 exp= 4              
  10 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT= 3 exp= 3              
  11 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT= 2 exp= 2              
  12 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT= 1 exp= 1              
  13 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT= 0 exp= 0              
  14 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT=63 exp=63              
  15 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT=62 exp=62              
  16 RST=0 LOAD=0 EN=0 UP=1 DIN= 0 | CNT=61 exp=61              
  17 RST=0 LOAD=0 EN=0 UP=1 DIN= 0 | CNT=61 exp=61              
  18 RST=0 LOAD=0 EN=0 UP=1 DIN= 0 | CNT=61 exp=61              
  19 RST=0 LOAD=1 EN=0 UP=0 DIN=62 | CNT=61 exp=61              
  20 RST=0 LOAD=0 EN=1 UP=1 DIN= 0 | CNT=62 exp=62              
  21 RST=0 LOAD=0 EN=1 UP=1 DIN= 0 | CNT=63 exp=63              
  22 RST=0 LOAD=0 EN=1 UP=1 DIN= 0 | CNT= 0 exp= 0              
  23 RST=0 LOAD=1 EN=1 UP=0 DIN=10 | CNT= 1 exp= 1              
  24 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT=10 exp=10              
  25 RST=0 LOAD=0 EN=1 UP=0 DIN= 0 | CNT= 9 exp= 9              
  26 RST=1 LOAD=1 EN=1 UP=1 DIN=20 | CNT= 8 exp= 8              
  27 RST=0 LOAD=0 EN=0 UP=0 DIN= 0 | CNT= 0 exp= 0              
  28 RST=0 LOAD=0 EN=0 UP=0 DIN= 0 | CNT= 0 exp= 0              
  29 RST=0 LOAD=0 EN=1 UP=0 DIN=22 | CNT= 0 exp= 0              
  30 RST=0 LOAD=0 EN=1 UP=0 DIN=14 | CNT=63 exp=63              
  31 RST=0 LOAD=0 EN=1 UP=1 DIN=23 | CNT=62 exp=62              
  32 RST=0 LOAD=0 EN=0 UP=1 DIN=40 | CNT=63 exp=63              
  33 RST=0 LOAD=0 EN=0 UP=1 DIN=31 | CNT=63 exp=63              
  34 RST=0 LOAD=0 EN=0 UP=0 DIN=20 | CNT=63 exp=63              
  35 RST=0 LOAD=0 EN=0 UP=1 DIN=10 | CNT=63 exp=63              
  36 RST=0 LOAD=0 EN=0 UP=0 DIN=40 | CNT=63 exp=63              
  37 RST=0 LOAD=0 EN=1 UP=1 DIN=34 | CNT=63 exp=63              
  38 RST=0 LOAD=0 EN=1 UP=0 DIN=34 | CNT= 0 exp= 0              
  39 RST=0 LOAD=0 EN=0 UP=1 DIN=59 | CNT=63 exp=63              
  40 RST=0 LOAD=0 EN=1 UP=1 DIN=23 | CNT=63 exp=63              
  41 RST=0 LOAD=0 EN=0 UP=1 DIN= 5 | CNT= 0 exp= 0              
  42 RST=1 LOAD=0 EN=0 UP=0 DIN=51 | CNT= 0 exp= 0              
  43 RST=0 LOAD=0 EN=1 UP=1 DIN=41 | CNT= 0 exp= 0              
  44 RST=0 LOAD=0 EN=1 UP=1 DIN=41 | CNT= 1 exp= 1              
  45 RST=0 LOAD=0 EN=0 UP=1 DIN=31 | CNT= 2 exp= 2              
  46 RST=1 LOAD=0 EN=0 UP=1 DIN=50 | CNT= 2 exp= 2              
  47 RST=0 LOAD=0 EN=0 UP=1 DIN= 4 | CNT= 0 exp= 0              
  48 RST=0 LOAD=0 EN=1 UP=0 DIN= 1 | CNT= 0 exp= 0              
  49 RST=0 LOAD=0 EN=1 UP=0 DIN=55 | CNT=63 exp=63              
  50 RST=0 LOAD=0 EN=0 UP=0 DIN=59 | CNT=62 exp=62              
  51 RST=0 LOAD=1 EN=0 UP=0 DIN=43 | CNT=62 exp=62              
  52 RST=0 LOAD=0 EN=0 UP=0 DIN=49 | CNT=43 exp=43              
  53 RST=0 LOAD=0 EN=0 UP=1 DIN= 3 | CNT=43 exp=43              
  54 RST=0 LOAD=0 EN=1 UP=1 DIN=23 | CNT=43 exp=43              
  55 RST=0 LOAD=1 EN=0 UP=1 DIN=43 | CNT=44 exp=44              
  56 RST=0 LOAD=0 EN=1 UP=0 DIN=61 | CNT=43 exp=43              
  57 RST=0 LOAD=0 EN=0 UP=0 DIN=44 | CNT=42 exp=42              
